cat,nfor,ndefor,rate
1,9562,0,0.0
2,8507,30,0.00035321164282298145
3,8765,62,0.0007096205567389546
4,12833,127,0.0009940711254131651
5,16176,123,0.0007630001952849685
6,13860,213,0.0015475289907892487
7,12865,222,0.001739160245457838
8,12514,257,0.002072930028485409
9,17260,415,0.002430821636195013
10,10446,312,0.0030277095108421914
11,16811,494,0.002978148984030038
12,12000,434,0.003676912546196731
13,12512,389,0.0031533884972773096
14,15712,503,0.003248451698695254
15,12592,493,0.003985923745308262
16,14220,639,0.004587213176333482
17,11155,512,0.004687521997405963
18,15232,834,0.005615093102009139
19,12676,938,0.007658423651646817
20,13027,1075,0.008575568070432582
21,13706,1143,0.008669967884430863
22,13649,1311,0.010047416850037627
23,14291,1463,0.010741858389803238
24,13196,1673,0.013465391013717576
25,12699,1887,0.01595796286749418
26,13719,1949,0.015205984705257691
27,13718,2441,0.01940363685988622
28,12956,2582,0.02198046287653288
29,13570,2880,0.023572986951729713
30,13346,4213,0.03722183182397376
